"Year","SiteID","Treatment","Time","tss_sum","precipitation","flume","wpd","ln_tss","ln_wpd","random"
2016,"ARM","control",1,61.53595112,0.07,"C",220.367585630744,4.12032010954844,5.3952969958219,"NR"
2016,"ARM","strips",1,0.086412892,0.07,"C",35.4256854256854,-2.04474727282079,3.56743713403276,"NR"
2016,"EIA","control",1,0,0.028,"C",75.8412698412698,-3.14655516328857,4.32864260149422,"R"
2016,"EIA","control",2,11.53258131,0.149,"C",385.656565656566,2.44889781987756,5.95494724714515,"R"
2016,"EIA","strips",1,0.201366784,0.028,"C",117.985185185185,-1.40908496926805,4.7705590673056,"R"
2016,"EIA","strips",2,0.998728213,0.149,"C",407.824915824916,0.0408810772548361,6.01083795442233,"R"
2017,"ARM","control",1,29.92093888,0.171,"C",498.512949039265,3.39999462130249,6.21162956507107,"NR"
2017,"ARM","control",3,28.913244971,0.09,"C",664.654970760234,3.365785896507,6.49926806504925,"NR"
2017,"ARM","strips",1,0,0.171,"C",71.6883116883117,-3.14655516328857,4.27232771741746,"NR"
2017,"ARM","strips",3,0.256284475,0.09,"C",473.090909090909,-1.20636073650124,6.15928756683403,"NR"
2018,"EIA","control",2,9.730638821,0.082,"C",1253.45543345543,2.27968884512651,7.13365936328097,"R"
2018,"EIA","control",3,11.3963857,0.17,"C",633.333333333333,2.43706228695744,6.45099687648642,"R"
2018,"EIA","strips",2,76.34594749,0.082,"C",547.054131054131,4.33583801934603,6.30454775740536,"R"
2018,"EIA","strips",3,1.610195563,0.17,"C",934.143209876543,0.502710119766041,6.83962975610733,"R"
2018,"RHO","control",2,0,0.139,"C",4320.18140589569,-3.14655516328857,8.371052672462,"R"
2018,"RHO","control",3,79.959078213,0.18,"C",1635.06172839506,4.38205261199897,7.39943583698874,"R"
2018,"RHO","strips",2,22.9213654,0.139,"C",506.719576719577,3.13394368404084,6.22795774745602,"R"
2018,"RHO","strips",3,3.904258013,0.279,"C",317.962962962963,1.3730211639387,5.76193490732725,"R"
2018,"WHI","control",2,0,0.016,"C",220.235294117647,-3.14655516328857,5.39469649354127,"NR"
2018,"WHI","control",3,83.94869563,0.071,"C",105.039281705948,4.43071793240857,4.65433439168049,"NR"
2018,"WHI","strips",2,2.124183723,0.016,"C",946.726998491704,0.773428501147771,6.85301077125752,"NR"
2018,"WHI","strips",3,4.398749853,0.071,"C",328.176638176638,1.49104840983881,5.79355199445469,"NR"
2018,"WOR","control",2,75.963966346,0,"C",1701.85666185666,4.33082499853295,7.43947508811131,"R"
2018,"WOR","control",3,1.51750412,0,"C",742.972582972583,0.445008922904641,6.61065914359625,"R"
2018,"WOR","strips",2,96.6595536,0,"C",3016.56565656566,4.57163980955629,8.01187426345388,"R"
2018,"WOR","strips",3,0,0,"C",1777.47474747475,-3.14655516328857,7.48294895481122,"R"
2019,"ARM","control",1,10.566809018,0.076,"C",444.623211875843,2.36177895227538,6.09722720861497,"NR"
2019,"ARM","control",3,22.62740997,0.06,"C",77.4403787245893,3.12106054860824,4.34950833351149,"NR"
2019,"ARM","strips",1,0.653272317,0.076,"C",1380.02983682984,-0.362014435112503,7.22986039880871,"NR"
2019,"ARM","strips",3,0,0.06,"C",70.2268783068783,-3.14655516328857,4.25173111961557,"NR"
2019,"RHO","control",1,20.35222494,0.068,"C",5184.57407407407,3.01530080188252,8.55344297149856,"R"
2019,"RHO","control",2,46.54209198,0.008,"C",811.460714285714,3.84128057535574,6.69883597455138,"R"
2019,"RHO","control",3,741.9566704,0.053,"C",2794.25054945055,6.60934879896243,7.93531920990185,"R"
2019,"RHO","strips",1,35.96576359,0.068,"C",896.993827160494,3.58376234188665,6.79904898038572,"R"
2019,"RHO","strips",2,6.898277023,0.008,"C",296.643518518519,1.93748576666893,5.69253114354811,"R"
2019,"RHO","strips",3,156.1424876,0.053,"C",597.207407407407,5.05104432399836,6.39226446915042,"R"
2019,"WOR","control",1,0,0.016,"C",988.706613756614,-3.14655516328857,6.89639763822694,"R"
2019,"WOR","control",2,71.80656162,0.057,"C",2846.04463684464,4.27457451118422,7.95368546259027,"R"
2019,"WOR","strips",1,0.101733664,0.016,"C",550.194444444444,-1.93286002554722,6.31027175110115,"R"
2019,"WOR","strips",2,65.75345526,0.057,"C",1403.83232323232,4.18656596545158,7.24696114955647,"R"
2020,"RHO","control",2,5.906204266,0.102,"C",745.45306122449,1.78325747380725,6.61399216941167,"R"
2020,"RHO","strips",2,1.967592589,0.102,"C",587.949911816578,0.698429499018001,6.37664176028485,"R"
2020,"WOR","control",1,0,0.024,"C",579.677167277167,-3.14655516328857,6.36247134043383,"R"
2020,"WOR","strips",1,0.219996094,0.024,"C",542.956854700855,-1.33561609862569,6.29702985950421,"R"
