Year,SiteID,Treatment,Time,tss_sum,rain,flume,wpd,ln_tss,ln_wpd
2016,ARM,control,1,42.1012469,0.07,C,220.36758563074355,3.7409320740158867,5.395296995821902
2016,ARM,strips,1,0.097357436,0.07,C,35.42568542568543,-2.0147222668791924,3.5674371340327635
2016,EIA,control,2,11.53258131,0.129,C,385.65656565656565,2.448292915709858,5.954947247145149
2016,EIA,strips,1,0.19488502,0.028,C,117.98518518518519,-1.4658354412962067,4.770559067305602
2016,EIA,strips,2,0.966580309,0.149,C,407.8249158249158,0.002576985718233996,6.0108379544223345
2016,RHO,control,2,0.555087436,0.036,C,143.43159486016629,-0.5257913266644635,4.965858230676542
2016,RHO,strips,2,0.211420222,0.036,C,84.30335097001763,-1.3966670842881337,4.434421614751796
2017,ARM,control,1,9.2237769,0.071,C,498.5129490392648,2.2256799554952797,6.211629565071072
2017,ARM,control,3,19.781666537,0.09,C,664.6549707602339,2.986573789226096,6.499268065049253
2017,ARM,strips,1,0.0,0.0,C,71.68831168831169,-3.3242363405260273,4.272327717417457
2017,ARM,strips,3,0.288743945,0.055,C,473.09090909090907,-1.1247182687168749,6.159287566834025
2017,RHO,control,1,123.15767193200001,0.093,C,1228.737060041408,4.813757685591923,7.113742140412158
2017,RHO,control,2,50.57204138,0.017,C,1500.2840434419381,3.9241104842202463,7.313409731458151
2017,RHO,control,3,18.82517664,0.027,C,1013.9002267573696,2.937105663382265,6.9215597836071625
2017,RHO,strips,2,2.748959858,0.017,C,367.438596491228,1.0242334596308456,5.906556220315131
2017,RHO,strips,3,0.071182239,0.027,C,93.5978835978836,-2.233224725042193,4.539007772094188
2018,EIA,control,2,9.730638821,0.082,C,1253.4554334554334,2.278972376258697,7.133659363280967
2018,EIA,control,3,0.0,0.0,C,633.3333333333333,-3.3242363405260273,6.450996876486422
2018,EIA,strips,2,73.88845991,0.082,C,547.0541310541311,4.303043759793693,6.304547757405357
2018,EIA,strips,3,0.0,0.0,C,934.1432098765432,-3.3242363405260273,6.839629756107329
2018,RHO,control,3,0.669929716,0.032,C,1635.0617283950617,-0.3482395988524969,7.399435836988744
2018,RHO,strips,2,20.49164212,0.139,C,506.7195767195767,3.0217723739722855,6.227957747456022
2018,RHO,strips,3,1.026007857,0.032,C,317.962962962963,0.06016132109746451,5.761934907327247
2018,WHI,control,2,0.0,0.0,C,220.23529411764707,-3.3242363405260273,5.394696493541266
2018,WHI,control,3,63.478447179999996,0.07100000000000001,C,105.03928170594837,4.1512673946667835,4.654334391680493
2018,WHI,strips,2,2.124183723,0.026,C,946.7269984917044,0.7701932750233812,6.853010771257517
2018,WHI,strips,3,4.398749853,0.07100000000000001,C,328.1766381766382,1.4894712112396087,5.7935519944546865
2018,WOR,control,2,0.0,0.0,C,1701.856661856662,-3.3242363405260273,7.4394750881113065
2018,WOR,control,3,0.0,0.0,C,742.9725829725829,-3.3242363405260273,6.610659143596252
2018,WOR,strips,2,0.0,0.0,C,3016.5656565656564,-3.3242363405260273,8.011874263453876
2019,ARM,control,1,7.229527248,0.076,C,444.6232118758435,1.9831408680984683,6.0972272086149735
2019,ARM,control,3,15.48106686,0.06,C,77.44037872458925,2.7419405059146458,4.349508333511492
2019,ARM,strips,1,0.736011911,0.024,C,1380.029836829837,-0.25875530031990623,7.229860398808708
2019,RHO,control,1,294.1574426,0.079,C,5184.574074074074,5.684237518999833,8.553442971498557
2019,RHO,control,2,43.92100005,0.008,C,811.4607142857143,3.7832118844861253,6.698835974551379
2019,RHO,control,3,700.1722004,0.053,C,2794.25054945055,6.551377719962983,7.935319209901847
2019,RHO,strips,1,348.7496225,0.079,C,896.9938271604938,5.854457471288472,6.799048980385724
2019,RHO,strips,2,6.167042039,0.008,C,296.64351851851853,1.8250398231725937,5.6925311435481065
2019,RHO,strips,3,139.5909851,0.053,C,597.2074074074075,4.9389744746562485,6.392264469150415
2019,WOR,control,2,47.79828874,0.057,C,2846.044636844637,3.867742719990632,7.953685462590275
2019,WOR,strips,1,0.099644836,0.016,C,550.1944444444445,-1.9977153091606132,6.310271751101154
2019,WOR,strips,2,64.40338432,0.057,C,1403.8323232323235,4.16572500394904,7.246961149556472
2020,RHO,control,2,10.72845325,0.121,C,745.4530612244898,2.3762493399305784,6.613992169411674
2020,RHO,strips,2,1.759022749,0.052,C,587.9499118165785,0.5850176953975381,6.376641760284855
2020,WOR,strips,1,0.215479064,0.085,C,542.9568547008547,-1.3803955374401649,6.297029859504212
